CoC Number,CoC Name,Count Types,Overall Homeless,Sheltered ES Homeless,Sheltered TH Homeless,Sheltered SH Homeless,Sheltered Total Homeless,Unsheltered Homeless,Overall Homeless Individuals,Overall Homeless Individuals - Under 18,Sheltered ES Homeless Individuals,Sheltered ES Homeless Individuals - Under 18,Sheltered TH Homeless Individuals,Sheltered TH Homeless Individuals - Under 18,Sheltered SH Homeless Individuals,Sheltered Total Homeless Individuals,Sheltered Total Homeless Individuals - Under 18,Unsheltered Homeless Individuals,Unsheltered Homeless Individuals - Under 18,Overall Homeless People in Families,Sheltered ES Homeless People in Families,Sheltered TH Homeless People in Families,Sheltered Total Homeless People in Families,Unsheltered Homeless People in Families,Overall Homeless Family Households,Sheltered ES Homeless Family Households,Sheltered TH Homeless Family Households,Sheltered Total Homeless Family Households,Unsheltered Homeless Family Households,Overall Chronically Homeless,Sheltered ES Chronically Homeless,Sheltered SH Chronically Homeless,Sheltered Total Chronically Homeless,Unsheltered Chronically Homeless,Overall Chronically Homeless Individuals,Sheltered ES Chronically Homeless Individuals,Sheltered SH Chronically Homeless Individuals,Sheltered Total Chronically Homeless Individuals,Unsheltered Chronically Homeless Individuals,Overall Chronically Homeless People in Families,Sheltered ES Chronically Homeless People in Families,Sheltered Total Chronically Homeless People in Families,Unsheltered Chronically Homeless People in Families,Overall Homeless Veterans,Sheltered Total Homeless Veterans,Unsheltered Homeless Veterans,Year
AK-500,Anchorage CoC,Sheltered and Unsheltered Count,1147.0,704.0,393.0,0.0,1097.0,50.0,791.0,3.0,561.0,3.0,195.0,0.0,0.0,756.0,3.0,35.0,0.0,356.0,143.0,198.0,341.0,15.0,126.0,41.0,81.0,122.0,4.0,114.0,109.0,0.0,109.0,5.0,113.0,108.0,0.0,108.0,5.0,1.0,1.0,1.0,0.0,174.0,167.0,7.0,2012
AK-501,Alaska Balance of State CoC,Sheltered and Unsheltered Count,766.0,435.0,184.0,0.0,619.0,147.0,507.0,30.0,288.0,24.0,113.0,4.0,0.0,401.0,28.0,106.0,2.0,259.0,147.0,71.0,218.0,41.0,90.0,51.0,21.0,72.0,18.0,165.0,154.0,0.0,154.0,11.0,160.0,149.0,0.0,149.0,11.0,5.0,5.0,5.0,0.0,82.0,60.0,22.0,2012
AL-500,"Birmingham/Jefferson, St. Clair, Shelby Counties CoC",Sheltered and Unsheltered Count,1707.0,347.0,630.0,32.0,1009.0,698.0,1222.0,25.0,277.0,5.0,364.0,0.0,32.0,673.0,5.0,549.0,20.0,485.0,70.0,266.0,336.0,149.0,191.0,28.0,92.0,120.0,71.0,495.0,108.0,32.0,140.0,355.0,484.0,105.0,32.0,137.0,347.0,11.0,3.0,3.0,8.0,175.0,117.0,58.0,2012
AL-501,Mobile City & County/Baldwin County CoC,Sheltered and Unsheltered Count,634.0,212.0,112.0,0.0,324.0,310.0,422.0,0.0,130.0,0.0,25.0,0.0,0.0,155.0,0.0,267.0,0.0,212.0,82.0,87.0,169.0,43.0,62.0,23.0,29.0,52.0,10.0,75.0,17.0,0.0,17.0,58.0,75.0,17.0,0.0,17.0,58.0,0.0,0.0,0.0,0.0,52.0,12.0,40.0,2012
AL-502,Florence/Northwest Alabama CoC,Sheltered and Unsheltered Count,192.0,18.0,170.0,0.0,188.0,4.0,162.0,0.0,7.0,0.0,151.0,0.0,0.0,158.0,0.0,4.0,0.0,30.0,11.0,19.0,30.0,0.0,10.0,3.0,7.0,10.0,0.0,3.0,3.0,0.0,3.0,0.0,3.0,3.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,7.0,7.0,0.0,2012
AL-503,Huntsville/North Alabama CoC,Sheltered-Only Count,607.0,336.0,96.0,0.0,432.0,175.0,448.0,7.0,277.0,4.0,33.0,3.0,0.0,310.0,7.0,138.0,0.0,159.0,59.0,63.0,122.0,37.0,57.0,23.0,21.0,44.0,13.0,185.0,105.0,0.0,105.0,80.0,176.0,96.0,0.0,96.0,80.0,9.0,9.0,9.0,0.0,42.0,32.0,10.0,2012
AL-504,Montgomery City & County CoC,Sheltered and Unsheltered Count,487.0,96.0,247.0,0.0,343.0,144.0,383.0,0.0,84.0,0.0,164.0,0.0,0.0,248.0,0.0,135.0,0.0,104.0,12.0,83.0,95.0,9.0,33.0,4.0,26.0,30.0,3.0,82.0,15.0,0.0,15.0,67.0,76.0,15.0,0.0,15.0,61.0,6.0,0.0,0.0,6.0,67.0,40.0,27.0,2012
AL-505,Gadsden/Northeast Alabama CoC,Sheltered and Unsheltered Count,544.0,211.0,213.0,0.0,424.0,120.0,451.0,13.0,177.0,11.0,205.0,0.0,0.0,382.0,11.0,69.0,2.0,93.0,34.0,8.0,42.0,51.0,30.0,13.0,2.0,15.0,15.0,44.0,16.0,0.0,16.0,28.0,17.0,8.0,0.0,8.0,9.0,27.0,8.0,8.0,19.0,13.0,12.0,1.0,2012
AL-506,Tuscaloosa City & County CoC,Sheltered and Unsheltered Count,152.0,12.0,116.0,0.0,128.0,24.0,99.0,4.0,12.0,0.0,63.0,0.0,0.0,75.0,0.0,24.0,4.0,53.0,0.0,53.0,53.0,0.0,21.0,0.0,21.0,21.0,0.0,39.0,31.0,0.0,31.0,8.0,35.0,31.0,0.0,31.0,4.0,4.0,0.0,0.0,4.0,114.0,114.0,0.0,2012
AL-507,Alabama Balance of State CoC,Sheltered-Only Count,886.0,431.0,385.0,0.0,816.0,70.0,638.0,0.0,194.0,0.0,378.0,0.0,0.0,572.0,0.0,66.0,0.0,248.0,237.0,7.0,244.0,4.0,93.0,88.0,3.0,91.0,2.0,46.0,26.0,0.0,26.0,20.0,44.0,24.0,0.0,24.0,20.0,2.0,2.0,2.0,0.0,56.0,43.0,13.0,2012
